Datum;Preis
2/1/2018;49.60
3/1/2018;49.20
4/1/2018;49.90
5/1/2018;49.40
8/1/2018;49.30
9/1/2018;49.30
10/1/2018;49.60
11/1/2018;49.50
12/1/2018;49.20
15/1/2018;48.90
16/1/2018;48.80
17/1/2018;48.40
18/1/2018;48.30
19/1/2018;47.90
22/1/2018;47.90
23/1/2018;48.20
24/1/2018;48.40
25/1/2018;48.80
26/1/2018;48.80
29/1/2018;49.00
30/1/2018;48.50
31/1/2018;48.10
1/2/2018;48.60
2/2/2018;48.90
5/2/2018;48.00
6/2/2018;47.60
7/2/2018;47.50
8/2/2018;46.50
9/2/2018;46.30
12/2/2018;45.80
13/2/2018;45.40
14/2/2018;44.90
15/2/2018;45.60
16/2/2018;45.80
19/2/2018;46.50
20/2/2018;47.00
21/2/2018;47.00
22/2/2018;47.60
23/2/2018;48.20
26/2/2018;49.10
27/2/2018;49.60
28/2/2018;49.30
1/3/2018;48.60
2/3/2018;47.70
5/3/2018;48.40
6/3/2018;48.40
7/3/2018;48.10
8/3/2018;48.10
9/3/2018;48.00
12/3/2018;48.10
13/3/2018;47.90
14/3/2018;47.40
15/3/2018;47.90
16/3/2018;47.80
19/3/2018;48.20
20/3/2018;48.40
21/3/2018;49.40
22/3/2018;49.70
23/3/2018;49.60
26/3/2018;49.80
27/3/2018;49.80
28/3/2018;49.80
29/3/2018;49.90
3/4/2018;49.60
4/4/2018;49.40
5/4/2018;49.50
6/4/2018;49.40
9/4/2018;49.00
10/4/2018;49.90
11/4/2018;50.40
12/4/2018;51.20
13/4/2018;51.00
16/4/2018;50.70
17/4/2018;50.20
18/4/2018;50.10
19/4/2018;50.90
20/4/2018;50.60
23/4/2018;50.60
24/4/2018;51.40
25/4/2018;50.70
26/4/2018;51.30
27/4/2018;51.70
30/4/2018;51.70
2/5/2018;51.80
3/5/2018;51.70
4/5/2018;51.70
7/5/2018;52.90
8/5/2018;53.00
9/5/2018;54.30
11/5/2018;54.10
14/5/2018;54.00
15/5/2018;55.10
16/5/2018;55.40
17/5/2018;56.40
18/5/2018;56.80
22/5/2018;56.70
23/5/2018;56.60
24/5/2018;56.70
25/5/2018;56.30
28/5/2018;55.00
29/5/2018;55.30
30/5/2018;55.80
31/5/2018;
1/6/2018;56.10
4/6/2018;55.10
5/6/2018;54.50
6/6/2018;54.40
7/6/2018;54.00
8/6/2018;54.60
11/6/2018;54.00
12/6/2018;54.00
13/6/2018;53.80
14/6/2018;53.80
15/6/2018;53.60
18/6/2018;52.80
19/6/2018;53.00
20/6/2018;53.30
21/6/2018;52.30
22/6/2018;52.10
25/6/2018;52.30
26/6/2018;52.10
27/6/2018;53.20
28/6/2018;54.60
29/6/2018;54.60
2/7/2018;54.50
3/7/2018;54.30
4/7/2018;54.30
5/7/2018;54.20
6/7/2018;54.00
9/7/2018;54.10
10/7/2018;54.70
11/7/2018;54.50
12/7/2018;53.40
13/7/2018;53.40
16/7/2018;53.50
17/7/2018;52.50
18/7/2018;52.90
19/7/2018;53.70
20/7/2018;54.00
23/7/2018;54.00
24/7/2018;54.40
25/7/2018;54.70
26/7/2018;55.10
27/7/2018;55.50
30/7/2018;55.25
31/7/2018;55.00
1/8/2018;54.20
2/8/2018;54.50
3/8/2018;55.70
6/8/2018;56.20
7/8/2018;56.40
8/8/2018;56.10
9/8/2018;55.20
10/8/2018;55.60
13/8/2018;56.70
14/8/2018;56.80
15/8/2018;
16/8/2018;55.70
17/8/2018;55.90
20/8/2018;56.00
21/8/2018;56.10
22/8/2018;56.60
23/8/2018;57.90
24/8/2018;59.80
27/8/2018;59.90
28/8/2018;59.90
29/8/2018;60.00
30/8/2018;61.10
31/8/2018;61.20
3/9/2018;62.30
4/9/2018;64.80
5/9/2018;64.50
6/9/2018;64.30
7/9/2018;64.20
10/9/2018;65.20
11/9/2018;65.20
12/9/2018;66.20
13/9/2018;66.20
14/9/2018;65.50
17/9/2018;64.60
18/9/2018;64.10
19/9/2018;64.20
20/9/2018;64.30
21/9/2018;63.60
24/9/2018;64.00
25/9/2018;64.40
26/9/2018;64.70
27/9/2018;65.80
28/9/2018;66.60
1/10/2018;67.50
2/10/2018;68.60
4/10/2018;69.80
5/10/2018;69.10
8/10/2018;68.70
9/10/2018;69.20
10/10/2018;69.20
11/10/2018;68.00
12/10/2018;67.10
15/10/2018;66.80
16/10/2018;66.40
17/10/2018;66.60
18/10/2018;66.60
19/10/2018;70.00
22/10/2018;72.70
23/10/2018;74.00
24/10/2018;74.00
25/10/2018;74.50
26/10/2018;74.80
29/10/2018;75.20
30/10/2018;75.10
31/10/2018;76.00
1/11/2018;
2/11/2018;75.00
5/11/2018;75.00
6/11/2018;75.90
7/11/2018;75.90
8/11/2018;76.80
9/11/2018;74.70
12/11/2018;75.90
13/11/2018;74.40
14/11/2018;72.30
15/11/2018;71.90
16/11/2018;70.70
19/11/2018;69.60
20/11/2018;68.70
21/11/2018;67.10
22/11/2018;65.50
23/11/2018;64.60
26/11/2018;63.60
27/11/2018;62.50
28/11/2018;62.30
29/11/2018;60.30
30/11/2018;60.00
3/12/2018;61.40
4/12/2018;61.70
5/12/2018;61.00
6/12/2018;59.50
7/12/2018;59.20
10/12/2018;58.90
11/12/2018;57.90
12/12/2018;57.70
13/12/2018;57.00
14/12/2018;57.50
17/12/2018;57.00
18/12/2018;56.30
19/12/2018;55.00
20/12/2018;54.70
21/12/2018;54.00
27/12/2018;53.90
28/12/2018;53.60
2/1/2019;53.10
3/1/2019;54.00
4/1/2019;55.40
7/1/2019;56.20
8/1/2019;56.00
9/1/2019;56.60
10/1/2019;57.30
11/1/2019;58.20
14/1/2019;57.10
15/1/2019;56.70
16/1/2019;56.70
17/1/2019;56.30
18/1/2019;56.20
21/1/2019;56.10
22/1/2019;55.90
23/1/2019;55.70
24/1/2019;55.20
25/1/2019;55.30
28/1/2019;54.30
29/1/2019;53.80
30/1/2019;55.00
31/1/2019;55.00
1/2/2019;54.40
4/2/2019;55.10
5/2/2019;55.10
6/2/2019;54.50
7/2/2019;54.70
8/2/2019;54.00
11/2/2019;54.50
12/2/2019;54.60
13/2/2019;54.80
14/2/2019;55.60
15/2/2019;55.90
18/2/2019;56.70
19/2/2019;56.20
20/2/2019;55.40
21/2/2019;55.90
22/2/2019;56.20
25/2/2019;55.90
26/2/2019;55.40
27/2/2019;55.90
28/2/2019;56.00
1/3/2019;56.80
4/3/2019;56.40
5/3/2019;56.00
6/3/2019;56.00
7/3/2019;56.50
8/3/2019;55.80
11/3/2019;56.00
12/3/2019;55.60
13/3/2019;55.00
14/3/2019;55.30
15/3/2019;55.00
18/3/2019;54.20
19/3/2019;54.70
20/3/2019;54.70
21/3/2019;54.90
22/3/2019;54.40
25/3/2019;54.40
26/3/2019;54.70
27/3/2019;54.90
28/3/2019;54.50
29/3/2019;54.80
1/4/2019;55.00
2/4/2019;55.00
3/4/2019;55.50
4/4/2019;55.40
5/4/2019;55.80
8/4/2019;56.80
9/4/2019;56.70
10/4/2019;56.50
11/4/2019;57.00
12/4/2019;57.00
15/4/2019;56.50
16/4/2019;56.50
17/4/2019;57.00
18/4/2019;56.90
23/4/2019;58.00
24/4/2019;58.00
25/4/2019;58.00
26/4/2019;57.40
29/4/2019;56.80
30/4/2019;57.20
2/5/2019;58.00
3/5/2019;57.70
6/5/2019;57.10
7/5/2019;57.20
8/5/2019;57.10
9/5/2019;57.00
10/5/2019;57.10
13/5/2019;57.50
14/5/2019;57.30
